incident_id,incident_name,incident_longitude,incident_latitude,incident_county,incident_date_last_update,incident_dateonly_extinguished,incident_is_final,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_type,incident_url,incident_date_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired
8f61f461-552d-4538-b186-35ab030da416,Pala Fire,1,1,San Diego,2020-09-16T14:07:35Z,2009-05-25,Y,2009-05-24T14:56:00Z,CAL FIRE San Diego Unit,,"Hwy 76 and Pala Temecula, northwest of Pala",122,100,,CAL FIRE San Diego Unit,Wildfire,https://www.fire.ca.gov/incidents/2009/5/24/pala-fire/,2009-05-25T00:00:00Z,2009-05-24,N,TRUE,FALSE
c3b66e33-ef00-4874-a29b-b36640c16122,Peak Fire,-118.6438159,34.26734825,Ventura,2020-08-13T11:21:59Z,2019-01-04,Y,2018-11-12T10:06:00Z,Ventura County Fire Department,,"off Highway 118 and Rocky Peak Road, east of Simi Valley",186,100,,Ventura County Fire Department,Wildfire,https://www.fire.ca.gov/incidents/2018/11/12/peak-fire/,2019-01-04T08:46:00Z,2018-11-12,N,TRUE,FALSE
38d46a2f-d1f6-4ed8-a502-e57e393844ea,South Fire,-122.789,40.109,Tehama,2020-01-10T16:13:09Z,2019-12-02,Y,2019-09-05T19:59:46Z,Shasta-Trinity National Forest,,"Southeast aspect of Tomhead Mountain, South of Platina",5332,100,,Shasta-Trinity National Forest,Wildfire,https://www.fire.ca.gov/incidents/2019/9/5/south-fire/,2019-12-02T16:12:00Z,2019-09-05,N,FALSE,FALSE
c3b236b9-3a1d-481d-b1eb-b0aa77c5b462,Cow Fire,-118.228,36.284,Inyo,2020-01-10T16:08:48Z,2019-11-21,Y,2019-09-06T12:23:00Z,USFS - Inyo National Forest,,"Golden Trout Wilderness, Inyo National Forest",1975,100,,Inyo National Forest,Wildfire,https://www.fire.ca.gov/incidents/2019/9/6/cow-fire/,2019-11-21T16:08:00Z,2019-09-06,N,FALSE,FALSE
e7ea56c5-4290-4406-b0a5-c9d1718e9700,Taboose Fire,-118.345,37.034,Inyo,2020-01-10T16:10:00Z,2019-11-21,Y,2019-09-06T12:43:35Z,Inyo National Forest,,south west of Big Pine and north west of Aberdeen,10296,100,,"Inyo National Forest , Inyo County Sheriff's Office",Wildfire,https://www.fire.ca.gov/incidents/2019/9/6/taboose-fire/,2019-11-21T16:09:00Z,2019-09-06,N,FALSE,FALSE
8bf75401-999f-42bd-8c0a-8db508591545,Johnson Fire,-116.05898,33.45148,Riverside,2020-08-13T11:53:25Z,2019-10-16,Y,2019-10-14T15:32:20Z,Bureau of Indian Affairs,,Johnson Street and Ave 82,75,100,,Bureau of Indian Affairs,Wildfire,https://www.fire.ca.gov/incidents/2019/10/14/johnson-fire/,2019-10-16T11:53:00Z,2019-10-14,N,FALSE,FALSE
df7805d1-682e-4a3d-b917-1bbab5e078ef,Grove Fire,-122.604425,38.88913,Lake,2020-01-10T16:11:49Z,,Y,2019-10-17T20:06:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,Hwy 29 and Spruce Grove Road in Lake County,25,100,,,Wildfire,https://www.fire.ca.gov/incidents/2019/10/17/grove-fire/,,2019-10-17,N,TRUE,FALSE
809d101c-8aa3-4a53-bf20-f38ae7ec7941,Kincade Fire,-122.780053,38.792458,Sonoma,2020-03-03T15:35:35Z,2019-11-06,Y,2019-10-23T21:27:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,"John Kincade Road and Burned Mountain Road, northeast of Geyserville",77758,100,,"Cooperating Agencies: Cooperating Agencies: Geyserville Fire Protection District, Numerous Sonoma County Fire Agencies, CDCR, Cal OES, CHP, CCC, Sonoma County Sheriff’s Department, BIA, BLM, California National Guard.",Wildfire,https://www.fire.ca.gov/incidents/2019/10/23/kincade-fire/,2019-11-06T19:00:00Z,2019-10-23,N,TRUE,FALSE
31852a71-e639-496f-9e7d-0968d1c218b3,Maria Fire,-118.997115,34.302212,Ventura,2020-03-03T15:19:43Z,2019-11-06,Y,2019-10-31T20:58:28Z,Ventura County Fire Department,,"off of Bradley Road and Solano Verde Dr, Top of South Mt, Santa Paula",9999,100,,"Venture County Fire Department, Cooperating Agencies: Ventura County OES, Ventura County Animal Services, CHP, California Department of Corrections and Rehabilitation, Cal Resources Corporation, So Cal Gas, United Water, So Cal Edison, California Conservation Corps",Wildfire,https://www.fire.ca.gov/incidents/2019/10/31/maria-fire/,2019-11-06T18:00:00Z,2019-10-31,N,TRUE,FALSE
94f20083-2412-4058-bc16-afa6b45c3935,Bear Fire,-123.6378411,40.511092,Humboldt,2020-02-16T09:24:05Z,,Y,2020-02-15T17:48:27Z,CAL FIRE Humboldt-Del Norte Unit,,"Bear Creek Road and Anderson Ford Road, Northwest of Highway 36 at Dinsmore",15,100,,,Wildfire,https://www.fire.ca.gov/incidents/2020/2/15/bear-fire/,,2020-02-15,N,TRUE,FALSE
